"","seed","varW1","varW2","varW3","varW4","varW5","varB1","varB2","varB3","varB4","varB5"
"1",1,0.97,0.6,0.78,0.67,0.42,1.03,1.06,0.97,1.02,1.07
"2",2,1.07,1.15,0.79,1.14,0.67,1.03,1.02,1.13,0.99,0.92
"3",3,1,1.07,0.56,0.86,0.59,0.95,0.98,0.9,0.89,1.07
"4",4,0.87,1.03,0.78,0.82,1.02,0.94,1.01,0.99,0.91,0.95
"5",5,1.28,0.89,1.25,1.04,0.47,1.01,1.02,0.99,1.03,1.01
"6",6,1.39,0.89,0.63,0.46,0.59,1.02,0.99,1.05,0.99,0.92
"7",7,0.78,0.67,1.09,0.65,0.4,0.99,1.05,1.03,0.92,1.05
"8",8,0.93,0.81,0.65,0.5,0.52,0.99,1.05,0.98,1.09,0.96
"9",9,1.91,1.31,1.05,0.69,0.95,0.99,1,1.03,1.01,0.9
"10",10,1.11,0.76,1.1,0.62,0.95,0.94,1.1,0.94,0.89,0.93
"11",11,0.85,0.96,1.68,0.53,0.62,0.96,0.98,0.94,1.09,0.96
"12",12,0.85,0.87,0.63,1.13,1.05,1.06,0.99,0.94,0.94,0.96
"13",13,0.81,0.51,0.94,0.62,0.77,1.01,0.92,1.07,0.97,1.08
"14",14,1.02,0.52,0.65,0.97,0.54,1.01,0.98,0.95,1.01,0.94
"15",15,0.81,0.9,0.66,0.69,0.6,0.99,1,0.93,0.85,0.91
"16",16,1.48,1.23,0.87,0.91,0.57,0.98,0.92,0.97,0.88,1
"17",17,0.95,1.59,0.72,0.9,0.77,0.99,1.01,1,1.04,0.96
"18",18,0.62,0.86,0.42,0.63,1.13,1.03,0.99,1.02,0.96,0.89
"19",19,0.84,1.31,0.79,1.3,0.4,1.02,0.99,0.99,1.01,1.09
"20",20,0.93,1.12,0.63,0.52,0.67,0.94,0.99,0.97,1.07,1.02
"21",21,1.2,1.11,0.93,0.84,0.97,0.99,1,0.96,0.94,0.97
"22",22,0.96,1.1,0.65,1.01,0.79,1.02,0.99,0.94,0.96,0.89
"23",23,0.81,0.77,1.03,0.46,0.66,0.97,0.97,1.09,0.98,0.76
"24",24,0.72,0.97,1,0.87,0.9,0.98,0.99,0.96,1.01,1.06
"25",25,1.01,0.74,0.63,0.74,0.63,1,1.03,1.05,1.05,0.94
"26",26,1.05,0.9,0.92,0.6,0.55,1.02,1.02,0.92,0.95,0.98
"27",27,1.08,0.86,0.77,0.54,0.63,1,0.86,0.98,0.88,1.08
"28",28,1.13,0.63,1.15,0.4,0.63,0.97,1.01,0.97,0.95,1.02
"29",29,0.96,0.86,0.64,1.32,0.44,0.92,0.98,0.97,0.95,1
"30",30,0.78,0.88,1.22,0.5,0.45,1.03,0.99,1.01,0.99,0.96
"31",31,1.17,0.5,0.52,0.74,0.63,1,1.03,0.97,0.91,1.03
"32",32,0.67,0.84,0.59,0.51,0.57,0.98,1.02,0.95,0.92,1.06
"33",33,0.95,1.2,0.71,0.79,0.77,1.02,1.03,1.01,0.93,1.05
"34",34,0.7,0.52,0.67,0.78,0.53,0.98,0.95,0.99,0.95,1
"35",35,0.74,1.06,0.67,0.81,0.79,1.02,1.02,1,0.99,0.97
"36",36,1.68,1.13,0.66,0.41,0.8,1.02,1.04,0.95,1.02,0.87
"37",37,0.99,0.68,0.48,0.61,0.41,0.98,0.91,0.92,0.95,0.95
"38",38,0.89,1.53,0.86,0.65,0.59,0.99,0.89,0.93,0.85,0.93
"39",39,0.86,0.65,0.48,0.71,0.54,0.96,1.01,0.94,1.04,1.15
"40",40,1.01,0.68,1.28,1.27,0.68,1.04,0.99,0.96,1.02,0.94
"41",41,0.85,1.01,0.87,0.92,0.74,0.94,0.93,0.9,1.24,1.03
"42",42,1.5,0.55,0.56,0.76,0.74,1.02,0.98,0.93,0.92,0.9
"43",43,1.04,2.19,0.55,0.83,0.87,0.98,1.01,0.95,0.99,0.89
"44",44,0.94,1.52,0.45,0.81,0.41,0.98,1.06,1.02,0.93,0.94
